key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
ms_397,,,,,,"Cambridge, University Library Addit. 1075, 233ff.",
ms_398,,,,,,"Dublin, Chester Beatty Library 3035, A.H. 669, 126ff.",
ms_399,,,,,,"Dunedin, Otago Museum a.873 H. El Escorial ar. 907, 184ff., s.7 H.",
ms_400,,,,,,"Istanbul, Fatih 3439, f.2r-65v, A.H.",
ms_401,,,,,,"Kabul, Kitabkhane-i Wizarat-i Ma'arif, 297, 241ff.",
ms_402,,,,,,"Kastamonu 607, ca. 200 ff., s.8 H. Købnhavn, Kongelige Biblioteket 81, 214ff.",
ms_403,,,,,,"Leningrad, Institut vostokovedenija C 2145, 280ff., A.H.",
ms_404,,,,,,"Oxford, Bodleian Library Huntington 435, 217ff.",
ms_405,,,,,,"Oxford, Bodleian Library Thurston 11, 212ff., A.H.",
ms_406,,,,,,"Paris, Bibliothèque Nationale Arab. 2500, A.H.",
ms_407,,,,,,"Rabat, al-Malik 1101, ca. 200ff., A.H.",
ms_408,,,,,,"Rabat, al-Malik 5317, 63ff., A.H.",
ms_409,,,,,,"Rampur, Raza Library Arshi 200, 214ff. Uppsala, Universitetsbibliotek O.Vet. 20, 202ff., A.H.",
ms_410,,,,,,"Teheran, Danishgah 2120, 6ff., A.H. 343 = A.D.954/55 (!)",
ms_411,,,,,,"Teheran, Majlis Shura 200, 226ff., s.9 H.",
ms_412,,,,,,"Teheran, Malik 3586, 240ff., A.H. 343 = A.D.954/55 (!)",
ms_413,,,,,,"Bruges, Stadsbibliotheek 529, f.1-48v",
ms_414,,,,,,"Oxford, Bodleian Library D'Orville 70, f.39-71v",
ms_415,,,,,,"Oxford, Trinity College 47, f.171-180v, 163-170v, 155-162v, 147-154v, 139-146v",
ms_416,,,,,,"Vaticano, Regin. lat. 1137, f.73v-74",
ms_417,,,,,,"Wien, Österreichische Nationalbibliothek 83, f.64-65v",
ms_418,,,,,,"Oxford, Bodleian Library Digby 174, f.160-160v",
ms_419,,,,,,"Vaticano, Regin. lat. 1268, f.113r-113v, in.",
ms_420,,,,,,"Boulogne-sur-Mer, Bibliothèque de la Ville 196, f.1-144, 144-147v",
ms_421,,,,,,"Bruges, Stadsbibliotheek 521, f.1-109v, 109v-113v",
ms_422,,,,,,"Firenze, Biblioteca Nazionale Centrale Conv.soppr. J V 30, f.55-57v",
ms_423,,,,,,"Madrid, Biblioteca de la Universidad 102 (117-z-6), f.137-196v",
ms_424,,,,,,"Milano, Biblioteca Ambrosiana D 186 inf., f.1-107v, 107v-112",
ms_425,,,,,,"Oxford, Bodleian Library Digby 174, f.160v-173v",
ms_426,,,,,,"Oxford, Bodleian Library Canon. misc. 145, f.307",
ms_427,,,,,,"Palermo, Biblioteca Comunale 2 Qq E 98, f.1-83v",
ms_428,,,,,,"Roma, Biblioteca Vallicelliana F.86, f.49-54",
ms_429,,,,,,"Vaticano, Lat. 7299, f.1r-136, 136-141",
ms_430,,,,,,"Vaticano, Regin. lat. 1268, f.113v-142v, 142v-143",
ms_431,,,,,,"Vaticano, Regin. lat. 1904, f.86-90",
ms_432,,,,,,"Vaticano, Rossiano 579, f.1-126v, 126v-130v",
ms_433,,,,,,"Wolfenbüttel, Herzog August Bibliothek Guelf. 51.9 Aug. 4to, f.53-60v, 61-68",
ms_434,,,,,,"Worcester, Chapter Library Q 89, f.1-3",
ms_435,,,,,,"Wroclaw, Biblioteka Uniwersytecka Mil. II.10, f.1-115v",
ms_436,,,,,,"London, British Library Royal 15 B IV, f.158-167v",
ms_437,,,,,,"Oxford, Balliol College 257, f.2-98v, ex",
ms_438,,,,,,"Oxford, Bodleian Library Digby 174, f.99-132v, f.139-145 , f.146-153, f.154-159v",
ms_439,,,,,,"Oxford, Bodleian Library D'Orville 70, f.23v-38",
ms_440,,,,,,"Oxford, Bodleian Library Savile 19, f.1-37",
ms_441,,,,,,"Venezie, Biblioteca Nazionale Marciana fondo antico 332 (= 1647), f.86-233",
ms_442,,,,,,"Wien, Österreichische Nationalbibliothek 83, f.53-63v",
ms_443,,,,,,"Oxford, Bodleian Library D'Orville 70, f.1-23v",
ms_444,,,,,,"Wien, Österreichische Nationalbibliothek 83, f.39-53",
ms_445,,,,,,"Vaticano, Palat. lat. 1354, f.98v-99v, 120-120v",
ms_446,,,,,,"Vaticano, Regin. lat. 1186, f.5-158",
ms_447,,,,,,"Vaticano, Regin. lat. 1261, f.61-197v",
ms_448,,,,,,"Vaticano, Regin. lat. 1267, f.1-56v",
ms_449,,,,,,"Vaticano, Urb. lat. 506, f.2-159v, Vaticano, Urb. lat. 507, f.1-143, (I - X 3 beg., X-XV",
ms_450,,,,,,"Venezie, Biblioteca Nazionale Marciana fondo antico 329 (= 1843), f.12-34",
ms_451,,,,,,"Venezie, Biblioteca Nazionale Marciana Lat. VIII 39 (= 3271), f.1-135",
ms_452,,,,,,"Venezie, Biblioteca Nazionale Marciana Lat. VIII 77 (= 3223), f.20-98",
ms_453,,,,,,"Wien, Österreichische Nationalbibliothek 2367, f.198-247v",
ms_454,,,,,,"Wien, Österreichische Nationalbibliothek 2465, f.1-142, in.",
ms_455,,,,,,"Wien, Österreichische Nationalbibliothek 4770, f.45-50v.",
ms_456,,,,,,"Wien, Österreichische Nationalbibliothek 4953, f.126-143v",
ms_457,,,,,,"Wien, Österreichische Nationalbibliothek 5304, f.",
ms_458,,,,,,"Wien, Österreichische Nationalbibliothek 5417, f.56-74v",
ms_459,,,,,,"Wien, Österreichische Nationalbibliothek 5507, f.1-82",
ms_460,,,,,,"Wolfenbüttel, Herzog August Bibliothek Guelf. 65. Aug. fol., f.9-75v",
ms_461,,,,,,"Paris, Bibliothèque Nationale Lat. 7374, f.13v-109v, 1: I 47 - IX",
ms_462,,,,,,"London, British Library Sloane 285, f.1-14v",
ms_463,,,,,,"Vaticano, Regin. lat. 1268, f.72-91v, f.92-112v, 113-113v",
ms_464,,,,,,"Krakòw, Biblioteka Jagiellonska 569, f.1-23",
ms_465,,,,,,"Oxford, Bodleian Library Digby 168, f.124-125",
ms_466,,,,,,"Vaticano, Regin. lat. 1268, f.144-183v, 206r-207v, in.",
ms_467,,,,,,"Cambridge, University Library Mm. 2.18, f.49v-65",
ms_468,,,,,,"Krakòw, Biblioteka Jagiellonska 569, f.23-37v (pp.51-80",
ms_469,,,,,,"Madrid, Biblioteca Nacional 10010, f.36v-49v",
ms_470,,,,,,"Paris, Bibliothèque Nationale Lat. 9335, f.92v-110v",
ms_471,,,,,,"Paris, Bibliothèque Nationale Lat. 7377A, f.1-33v",
ms_472,,,,,,"Paris, Bibliothèque Nationale Lat. 7377A, f.68-70v, (fragment)",
ms_473,,,,,,"Wien, Dominikanerkloster 80/45, f.105-145",
ms_474,,,,,,"Firenze, Biblioteca Nazionale Centrale Conv.soppr. J IX 26, f.46-55",
ms_475,,,,,,"Seville, Biblioteca Colombina 7-7-13, f.102v-112",
ms_476,,,,,,"Vaticano, Lat. 2225, f.90-98v",
ms_477,,,,,,"Vaticano, Chigi F IV 66, f.22v-40",
ms_478,,,,,,"Paris, Bibliothèque Nationale Lat. 7219, f.1-26v",
ms_479,,,,,,"Perugia, Biblioteca Comunale 322",
ms_480,,,,,,"Piacenza, Biblioteca Comunale Pallastrelli 211, f.1-32v, ex.",
ms_481,,,,,,"Praha, Knihovna Metropolitnì Kapituli 1459, f.21-48",
ms_482,,,,,,"Praha, Knihovna Metropolitnì Kapituli 1585 (O 1), f.166-174v, 176-178",
ms_483,,,,,,"Torino, Biblioteca Nazionale H.VII.46, f.1-134v",
ms_484,,,,,,"Vaticano, Lat. 2114, f.257v-258",
ms_485,,,,,,"Vaticano, Barb. lat. 3, p.1-355, (I-VI, Campanus and Zamberti texts",
ms_486,,,,,,"Vaticano, Barb. lat. 304, : Annotationes in 7. Euclidis",
ms_487,,,,,,"Vaticano, Ottob. lat. 2273, f.1-49v",
ms_488,,,,,,"Vaticano, Regin. lat. 1208, f.1-32",
ms_489,,,,,,"Wien, Österreichische Nationalbibliothek 5268, f.98-98v",key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
London_1685a,,https://www.proquest.com/docview/2240857871/12999289?sourcetype=Books,/tps/London_1685a_tp.png,,,,
London_1703,,,,,,,
Leipzig_1577,,https://www.google.com/books/edition/Elementa_geometrica/7d5RAAAAcAAJ,/tps/Leipzig_1577_tp.png,,,,
Strasbourg_1570,,https://www.google.nl/books/edition/Eukleidu_Stoichei%C5%8Dn_to_pr%C5%8Dton/D-JRAAAAcAAJ,/tps/Strasbourg_1570_tp.png,,,,
Strasbourg_1599,,,,,,,
Wittenberg_1609,,https://www.google.com/books/edition/Elementorum_libri_XIII/zEg-AAAAcAAJ,/tps/Wittenberg_1609_tp.png,,,,
Wittenberg_1634,,https://www.google.com/books/edition/Euclidis_Elementorum_Libri_XIII/UptoAAAAcAAJ,/tps/Wittenberg_1634_tp.png,,,,
Wittenberg_1661,,,,,,,
Basel_1550,,https://www.google.com/books/edition/Euclidis_Megarensis_sex_libri_priores_de/9xzvgfKqlUwC,/tps/Basel_1550_tp.png,,,,
Florence_1690,,,,,,,
Bologna_1686,,https://books.google.com/books/edition/De_gli_elementi_di_Euclide_li_primi_sei/9Fwza1FehKAC,/tps/Bologna_1686_tp.png,,,,
Brussels_1688,,https://www.google.com/books/edition/Los_seis_primeros_libros_onze_y_doze_de/ens-AAAAcAAJ,/tps/Brussels_1688_tp.png,,,,
Paris_1609,,,/tps/Paris_1609_tp.jpeg,,,,
Paris_1610,,https://www.google.com/books/edition/Les_Elemens_De_La_Geometrie_D_Evclides_M/jaVoAAAAcAAJ,/tps/Paris_1610_tp.jpeg,,,,
Kiel_and_Leipzig_1699,,https://www.google.com/books/edition/Samuel_Reyhers_JCti_bey_der_Hoch_F%C3%BCrstl/NqVoAAAAcAAJ,/tps/Kiel_and_Leipzig_1699_tp.png,,,,
Lyon_1690,,https://www.google.com/books/edition/Claudii_Francisci_Milliet_Dechales_Cursu/kRKLyKHrYl0C,/tps/Lyon_1690_tp.png,,,,
Cambridge_1655,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_XV_breviter_d/FLkTSS1XV7IC,/tps/Cambridge_1655_tp.png,,,,
London_1659,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_15_Breviter_d/cieEtytHF-4C,/tps/London_1659_tp.png,,,,
Osnabrück_1676,,https://www.google.com/books/edition/Elementorum_Euclidis_Libri_XV_Breviter_a/LRpaAAAAcAAJ,/tps/Osnabrück_1676_tp.png,,,,
London_1678,,https://www.google.ro/books/edition/Euclidis_Elementorum_Libri_XV/mMsfyMxXy9sC,/tps/London_1678_tp.png,/tps/London_1678_frontispiece.png,,,
London_1685,,https://www.google.nl/books/edition/Euclidis_Elementorum_libri_XV_breviter_d/k3zEcuqwgeEC,/tps/London_1685_tp.png,,,,
London_1687,,https://www.proquest.com/docview/2264193182,/tps/London_1687_tp.jpeg,,,,
Paris_1643,,https://gallica.bnf.fr/ark:/12148/bpt6k8720507g,/tps/Paris_1643_tp.jpeg,,,,
Milan_1671,,https://www.google.com/books/edition/I_primi_sei_libri_d_Euclide_tratti_in_vo/bP3VU0YL4BcC,/tps/Milan_1671_tp.png,/tps/Milan_1671_frontispiece.png,,,
Paris_1683,,https://www.google.com/books/edition/Les_elemens_d_Euclide_expliquez_d_une_ma/ZKjExrwYzw8C,/tps/Paris_1683_tp.jpeg,,,,
Paris_1690,,https://www.google.com/books/edition/Les_%C3%A9l%C3%A9mens_d_Euclide_expliquez_d_une/RylNWuuSvI8C,/tps/Paris_1690_tp.jpeg,,,,
Paris_1677a,,https://www.google.com/books/edition/Les_%C3%A9l%C3%A9mens_d_Euclide_expliquez_d_une/mRoPYxUHyGYC,/tps/Paris_1677a_tp.jpeg,,,,
Augsburg_1555,,https://www.google.com/books/edition/Das_sibend_acht_und_neunt_buch_des_hochb/3KJoAAAAcAAJ,/tps/Augsburg_1555_tp.png,,,,
Rotterdam_1661,,https://books.google.nl/books/edition/De_ses_eerste_boecken_Euclidis_van_de_be/WNhuN6uIWYUC,/tps/Rotterdam_1661_tp.png,,,,
Amsterdam_1700b,,https://www.google.com/books/edition/De_zes_eerste_boecken_van_de_beginselen/ZbJmAAAAcAAJ,/tps/Amsterdam_1700b_tp.png,,,,
Amsterdam_1701,,https://www.google.nl/books/edition/De_zes_eerste_Boecken_Euclidis_van_de_be/iXhaAAAAcAAJ,/tps/Amsterdam_1701_tp.png,,,,
Ansbach_1610,,https://www.google.com/books/edition/Die_ersten_sechs_B%C3%BCcher_Elementorum_Evc/qrqXNzmumroC,/tps/Ansbach_1610_tp.png,,,,
Amsterdam_1662,,https://books.google.nl/books/edition/De_15_boecken_der_elementen_met_korte_ve/tYgf9NvGwggC,/tps/Amsterdam_1662_tp.png,,,,
Oxford_1701,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_priores_sex_i/z54Oq8BSWKsC,/tps/Oxford_1701_tp.png,,,,
Paris_1598a,,https://www.google.nl/books/edition/Les_six_premiers_liures_des_elemens_d_Eu/bW9q_TRw0mcC,/tps/Paris_1598a_tp.png,,,,
Paris_1605,,https://www.google.com/books/edition/Les_neuf_premiers_livres_des_elemens_tra/dIlXAAAAcAAJ,/tps/Paris_1605_tp.png,,,,
Paris_1629,,https://gallica.bnf.fr/ark:/12148/bpt6k8702181q,/tps/Paris_1629_tp.jpeg,,,,
Paris_1640,,https://www.google.com/books/edition/Trait%C3%A9_des_quantitez_incomensurables_ou/PcRlAAAAcAAJ,/tps/Paris_1640_tp.jpeg,,,,
Paris_1565,,https://www.google.com/books/edition/Les_septieme_huictieme_neufieme_livres_d/CDKk_trxzagC,/tps/Paris_1565_tp.jpeg,,,,
Paris_1564,,https://www.google.com/books/edition/Les_Six_premiers_livres_des_Elements_d_E/cBkDqTx5DN4C,/tps/Paris_1564_tp.jpeg,,,,
Paris_1654a,,https://www.google.com/books/edition/Les_%C3%A9l%C3%A9ments_d_Euclide_expliquez_par_l/dgxI3rNTLmQC,/tps/Paris_1654a_tp.png,,,,
Brussels_1701,,,,,,,
Seville_1576,,https://www.google.com/books/edition/Los_Seis_libros_primeros_dela_geometria/zWy8BnTDHHoC,/tps/Seville_1576_tp.png,,,,
Brussels_1689,,https://books.google.co.uk/books/edition/Elementos_geometricos_de_Euclides_los_se/F2d_fsz2CZ8C,/tps/Brussels_1689_tp.png,,,,
Lyon_1672,,https://www.google.co.il/books/edition/Huit_livres_des_Elemens/UHw-AAAAcAAJ,,,,,
Paris_1682,,,,,,,
Amsterdam_1700,,https://www.google.nl/books/edition/Les_Elemens_d_Euclide/gOfhtmePAx4C,/tps/Amsterdam_1700_tp.png,,,,
Madrid_1665,,https://archive.org/details/HArteR05T12/page/n3/mode/2up,/tps/Madrid_1665_tp.png,,,,
Paris_1566a,,https://www.proquest.com/docview/2090304422?sourcetype=Books&imgSeq=10,/tps/Paris_1566a_tp.jpeg,,,,
Amsterdam_1702,,https://www.google.com/books/edition/De_ses_eerste_boeken_der_Beginselen_Eucl/4MI2AAAAMAAJ,/tps/Amsterdam_1702_tp.png,/tps/Amsterdam_1702_frontispiece.png,,,
Leiden_1617,,https://www.google.com/books/edition/De_propositien_van_de_XV_boucken_der_ele/qZtpAAAAcAAJ,/tps/Leiden_1617_tp.png,,,,
Siena_1691,,https://www.google.com/books/edition/Elementa_Euclidis_ad_usum_Novae_Academia/gtc4uydqIlYC,/tps/Siena_1691_tp.png,,,,
Paris_1551,,https://www.google.nl/books/edition/Orontij_Finaei_Delphinatis_In_sex_priore/F0xcAAAAcAAJ,/tps/Paris_1551_tp.png,,,,
Paris_1536,,https://www.google.com/books/edition/Orontij_Finei_In_sex_priores_libros_geom/qYC4V9N9P2UC,/tps/Paris_1536_tp.png,,True,,
Paris_1544,,https://books.google.fr/books?id=7VeHsLVElLwC&pg=PA2#v=onepage&q&f=false,/tps/Paris_1544_tp.png,,,,
London_1680–81,,https://www.proquest.com/docview/2248504230,/tps/London_1680–81_tp.png,,,,
Pesaro_1619,,https://www.google.com/books/edition/Elementorum_libri_XV_una_cum_scholiis/OIz-VpOZ9AIC,/tps/Pesaro_1619_tp.png,,,,
Strasbourg_1564,,https://www.google.nl/books/edition/Eukleidu_T%C5%8Dn_Pente_Kai_Deka_Stoichei%C5%8Dn/-rs7AAAAcAAJ,/tps/Strasbourg_1564_tp.png,,,,
Strasbourg_1564b,,https://www.google.com/books/edition/Propositiones_reliquorum_Librorum_Geomet/NU3IO_IPGh8C,/tps/Strasbourg_1564b_tp.png,,,,
Strasbourg_1566,,https://www.google.com/books/edition/Analyseis_geometric%C3%A6_sex_librorum_Eucli/BGXs-wxO3aIC,/tps/Strasbourg_1566_tp.png,,,,
Strasbourg_1564a,,https://www.google.nl/books/edition/Eukleidu_T%C5%8Dn_Pente_Kai_Deka_Stoichei%C5%8Dn/D7w7AAAAcAAJ,/tps/Strasbourg_1564a_tp.png,,,,
Bologna_1651,,https://www.google.nl/books/edition/Degli_elementi_di_Euclide_li_primi_sei_l/dntI0gjyQOYC,/tps/Bologna_1651_tp.png,,,,
Bologna_1651a,,https://www.google.com/books/edition/De_gli_Elementi_di_Euclide_li_primi_sei/gHs-AAAAcAAJ,/tps/Bologna_1651a_tp.png,,,,
Amsterdam_1683,,https://www.google.com/books/edition/Elementa_Geometriae_planae/uWEmAAAAcAAJ,/tps/Amsterdam_1683_tp.png,,,,
Amsterdam_1701b,,https://www.google.com/books/edition/Elementa_Euclidea_geometriae_planae_ac_s/fKk2AAAAMAAJ,/tps/Amsterdam_1701b_tp.png,,,,
Cambridge_1703,,https://www.google.com/books/edition/Elementa_geometri%C3%A6_plan%C3%A6_ac_solid%C3%A6_Eu/9gHKKwQnFngC,/tps/Cambridge_1703_tp.png,,,,
Rome_1574,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_XV/9E2xEit4CKkC,/tps/Rome_1574_tp.jpeg,,,,
Cologne_1607,,https://www.google.com/books/edition/Antonii_Possevini_Mantvani_Societatis_Ie/yqWtNTuCDvgC,/tps/Cologne_1607_tp.png,,,,
Cologne_1627,,https://www.google.com/books/edition/Elementa/vns-AAAAcAAJ,/tps/Cologne_1627_tp.png,,,,
Lyon_1660,,,,,,,
Lyon_1675,,https://books.google.co.uk/books/edition/Elementorum_Euclidis_libri_octo_ad_facil/27HPVTgqiewC,/tps/Lyon_1675_tp.png,,,,
Frankfurt_1674,,https://www.google.com/books/edition/P_GASPARIS_SCHOTTI_REGISCURIANI_E_SOCIET/hzNdhFhzoxAC,/tps/Frankfurt_1674_tp.png,,,,
Rome_1589,,https://www.google.com/books/edition/Euclidis_Elementorum_Lib_XV/MD6SRC7r204C,/tps/Rome_1589_tp.png,,,,
Cologne_1591,,https://www.google.com/books/edition/Evclidis_Elementorvm_libri_XV/TJJoAAAAcAAJ,/tps/Cologne_1591_tp.png,,,,
Rome_1603,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_15_Accessit_l/Ok5NMkBaRBkC,/tps/Rome_1603_tp.png,,,,
Douai_1620,,https://www.google.com/books/edition/Evclidis_Elementorvm_libri_sex_priores/6s5ZAAAAcAAJ,/tps/Douai_1620_tp.png,,,,
Douai_1625,,https://www.google.com/books/edition/Euclidis_elementorum_libri_VI/tjgPAAAAQAAJ,/tps/Douai_1625_tp.png,,,,
Rome_1629,,,,,,,
Douai_1633,,https://www.google.com/books/edition/Euclidis_elementorum_libri_sex_priores/4NKW-vnIhssC,/tps/Douai_1633_tp.png,,,,
Paris_1643b,,https://www.google.com/books/edition/Euclidis_sex_primi_Elementorum_geometric/A2887L4sZ-cC,/tps/Paris_1643b_tp.png,,,,
Paris_1644a,,https://gallica.bnf.fr/ark:/12148/bpt6k87204556.r,/tps/Paris_1644a_tp.jpeg,,,,
Antwerp_1645,,https://books.google.co.uk/books/edition/Euclidis_Elementorum_geometricorum_libro/PZMIxcT2xW0C,/tps/Antwerp_1645_tp.png,,,,
Frankfurt_1654,,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10235959-1,/tps/Frankfurt_1654_tp.jpeg,,,,
Paris_1654,,https://www.google.com/books/edition/Euclidis_elementorum_geometricorum_libri/PyPRiwjPSlwC,/tps/Paris_1654_tp.png,,,,
Rome_1655,,https://www.google.com/books/edition/Euclidis_Sex_primi_elementorum_geometric/Hv---MJg61QC,/tps/Rome_1655_tp.png,,,,
Lyon_1674,,https://www.google.com/books/edition/R_P_CLAVDII_FRANCISCI_MILLIET_DECHALES_C/hZ-6z0F_h1QC,/tps/Lyon_1674_tp.jpeg,,,,
Frankfurt_1607,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_15_Accessit_l/VqKUnyqhHl0C,/tps/Frankfurt_1607_tp.png,,,,
London_1654,,https://www.google.com/books/edition/Sex_primi_elementorum_geometricorum_libr/QHw-AAAAcAAJ,/tps/London_1654_tp.png,,,,
Cambridge_1665,,https://www.proquest.com/docview/2240970758,,,,,
Würzburg_1661,,https://www.google.com/books/edition/P_Gasparis_Schotti_Regiscuriani_E_Societ/mg8WiNxn_f8C,/tps/Würzburg_1661_tp.png,,,,
Graz_1636,,https://www.google.com/books/edition/Euclidis_sex_primi_elementorum_geometric/3Xs-AAAAcAAJ,/tps/Graz_1636_tp.png,,,,
Bamberg_1677,,https://archive.org/details/bub_gb_UDk1xrrkLVEC/page/n5/mode/2up,/tps/Bamberg_1677_tp.jpeg,,,,
Ingolstadt_1617,,https://www.google.com/books/edition/Euclides_elementorum_geometricorum_libri/OA4OAAAAQAAJ,/tps/Ingolstadt_1617_tp.png,,,,
Bologna_1629,,https://www.google.com/books/edition/Euclidis_Elementorum_geometricorum_libri/Hb_lHaM1QfEC,/tps/Bologna_1629_tp.png,,,,
Antwerp_1654,,https://www.google.com/books/edition/Elementa_geometriae_planae_ac_solidae_Qu/0PD97TBimBcC,/tps/Antwerp_1654_tp.png,,,,
Antwerp_1672,,https://books.google.be/books/edition/Elementa_geometri%C3%A6_plan%C3%A6_ac_solid%C3%A6_qv/yDkPAAAAQAAJ,/tps/Antwerp_1672_tp.png,,,,
Padua_1694,,https://www.google.com/books/edition/Elementa_geometri%C3%A6_plan%C3%A6_ac_solid%C3%A6_Bo/1hoppt-4hLgC,/tps/Padua_1694_tp.png,,,,
Oxford_1685,,https://www.google.com/books/edition/The_Elements_of_Euclid_Books_1_6_11_12_E/yMllAAAAcAAJ,/tps/Oxford_1685_tp.png,,,,
London_1696,,https://www.proquest.com/docview/2240953783,/tps/London_1696_tp.jpeg,,,,
Oxford_London_1700,,https://www.google.com/books/edition/The_Elements_of_Euclid_Books_1_6_11_12_e/aMplAAAAcAAJ,/tps/Oxford_London_1700_tp.png,/tps/Oxford_London_1700_frontispiece.png,,,
Amsterdam_1634,,http://digital.slub-dresden.de/id46912878X,/tps/Amsterdam_1634_tp.jpeg,,,,
London_1686,,https://www.proquest.com/docview/2240913069,/tps/London_1686_tp.jpeg,,,,
London_1660,,https://www.proquest.com/docview/2248494297,/tps/London_1660_tp.png,,,,
Amsterdam_1618,,https://www.google.com/books/edition/Die_sechs_ersten_B%C3%BCcher_Euclidis/s-pZAAAAcAAJ,/tps/Amsterdam_1618_tp.png,,,,
Venice_1482,,https://drive.google.com/file/d/1wDx74ceW6_-gA80CxKAAma2203_dQmJp/view?usp=sharing,,,,,
Arnhem_1605,,https://www.google.nl/books/edition/C_Dibvadii_In_Arithmeticam_Rationalivm_E/03RpAAAAcAAJ,/tps/Arnhem_1605_tp.png,,,,
Vicenza_1491,,,,,,,
Venice_1498a,,https://www.google.com/books/edition/Georgio_Valla_Placentino_interprete_Hoc/EKC8AXlrV30C,/tps/Venice_1498a_tp.png,,,,
Venice_1505,,https://www.google.com/books/edition/Euclidis_megare_n_sis_philosophi_platoni/8TEeimGzcfAC,/tps/Venice_1505_tp.png,,,,
Frankfurt_1506,,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN769046347,,,,,
Venice_1509,,https://www.google.com/books/edition/Euclidis_Megarensis_Opera/9mdY8sZcUa4C,/tps/Venice_1509_tp.png,,,,
Venice_1510,,https://www.google.com/books/edition/Euclidis_Megarensis_Habent_in_hoc_volumi/iMkxYb4ecgQC,/tps/Venice_1510_tp.png,,,,
Paris_1516,,https://github.com/ReallyLiri/elements-facsimile/blob/main/docs/Paris_1516.pdf,/tps/Paris_1516_tp.png,,,,
Basel_1533,,https://www.google.com/books/edition/Euclidis_Elementorum_libri_XV/VBVSP056oZwC,/tps/Basel_1533_tp.png,,many,,
Basel_1537,,https://www.google.com/books/edition/Evclidis_Megariensis_Mathematici_Clariss/2nIkNLZ9GvQC,/tps/Basel_1537_tp.png,,,,
Strasbourg_1538,,https://www.google.com/books/edition/Eukleidu_T%C5%8Dn_Pente_Kai_Deka_Stoichei%C5%8Dn/PclWAAAAcAAJ,/tps/Strasbourg_1538_tp.png,,,,
Venice_1543,,https://www.google.com/books/edition/Euclide_megarense_philosopho_solo_introd/aEgC6RV8gIcC,/tps/Venice_1543_tp.png,,,,
Paris_1545,,,,,,,
Rome_1545,,https://www.google.nl/books/edition/Eukleidou_Stoichei%C5%8Dn_biblia_15_Euclidis/_FhAsYJ0K7gC,/tps/Rome_1545_tp.png,,,,
Rome_1545a,,https://www.google.com/books/edition/I_Quindici_libri_degli_elementi_di_Eucli/Pz3Knq5dJTkC,/tps/Rome_1545a_tp.png,,,,
Basel_1546,,https://www.google.ro/books/edition/Euclidis_Elementorum_geometricorum_libri/swjsres6uh8C,/tps/Basel_1546_tp.png,,,,
Leipzig_1549,,http://resolver.staatsbibliothek-berlin.de/SBB00008F7C00000000,/tps/Leipzig_1549_tp.png,,,,
Paris_1549,,https://www.google.com/books/edition/Euclides_Lat_Containing_the_definitions/Oi3heWQjM-kC,/tps/Paris_1549_tp.png,,many,,
Paris_1551a,,https://www.google.com/books/edition/Euclidis_Elementorum_liber_decimus_Petro/chWpZK0gSAkC,/tps/Paris_1551a_tp.png,,,,
Paris_1552,,,,,,,
Cologne_1556,,https://www.google.com/books/edition/Euclidis_Megarensis_mathematici_clariss/f7tpAAAAcAAJ,/tps/Cologne_1556_tp.png,,,,
Lyon_1557,,https://www.google.com/books/edition/Iacobi_Peletarii_Cenomani_In_Euclidis_El/bsz37Ilvq3QC,/tps/Lyon_1557_tp.png,,,,
Paris_1557,,https://www.google.com/books/edition/Eisag%C5%8Dg%C4%93_harmonik%C4%93/EUM8AAAAcAAJ,/tps/Paris_1557_tp.png,,,,
Basel_1558,,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11058001-4,/tps/Basel_1558_tp.jpeg,,,,
Paris_1558,,https://www.google.nl/books/edition/Euclidis_Elementorum_libri_XV/zz8HZKewReUC,/tps/Paris_1558_tp.png,,,,
Paris_1558a,,https://www.google.com/books/edition/Euclidis_elementorum_libri_quindecim_The/acNlAAAAcAAJ,/tps/Paris_1558a_tp.png,,,,
Strasbourg_1559,,http://resolver.staatsbibliothek-berlin.de/SBB0001AEB400000000,/tps/Strasbourg_1559_tp.png,,,,
Basel_1562,,https://www.google.com/books/edition/Die_Sechs_Erste_B%C3%BCcher_Euclidis_Vom_anf/dwZZAAAAcAAJ,/tps/Basel_1562_tp.png,,,,
Cologne_1564,,https://www.google.com/books/edition/Tractatus_De_Usu_Globi_Astriferi/zMk7AAAAcAAJ,/tps/Cologne_1564_tp.png,,,,
Wittenberg_1564,,https://www.google.com/books/edition/Arithmetices_Evclideae_Liber_Primvs/1ppoAAAAcAAJ,/tps/Wittenberg_1564_tp.png,,,,
Venice_1565,,https://www.google.com/books/edition/Evclide_Megarense_Philosopho_Solo_Introd/fcNZAAAAcAAJ,/tps/Venice_1565_tp.png,,,,
