key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
ms_51,,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=4772,,,,"Reims, Bibl.Mun., Ms, 975, f.33ff.",
ms_52,,http://www.e-codices.unifr.ch/en/list/one/csg/0199,,,,"St.Gallen, Stiftsbibliothek, Ms, 199, p.115-374",
ms_53,,http://www.manuscripta-mediaevalia.de/dokumente/html/obj50010823,,,,"Munich, Bayerische Staatsbibliothek, Clm, 13084, f.53v-54r",
ms_54,,http://digi.vatlib.it/view/MSS_Pal.lat.1564,,,,"Vatican, Vatican, Palat.lat., 1564, f.79r-82r",
ms_55,,http://diglib.hab.de/mss/105-gud-lat/start.htm,,,,"Wolfenbütel, HAB, Cod.Guelf., 105 Gud.lat., f.43r-45v",
ms_56,,http://www.e-codices.unifr.ch/en/list/one/sbe/0358,,,,"Einsiedeln, Stiftsbibliothek, Cod., 358, p.1-20, 23-37",
ms_57,,http://mss.bmlonline.it/Catalogo.aspx?Shelfmark=Plut.29.19,,,,"Florence, BLaur., Plutei, 29.19, f.1r-27r",
ms_58,,http://bdh.bne.es/bnesearch/detalle/bdh0000042034,,,,"Madrid, Biblioteca Nacional, Ms., 9088, f.130r-142r",
ms_59,,http://www.manuscripta-mediaevalia.de/dokumente/html/obj50007062,,,,"Munich, Bayerische Staatsbibliothek, Clm, 560, f.122r-149r",
ms_60,,http://ds.lib.berkeley.edu/PlimptonMS164_20,,,,"New York, Columbia University, Plimpton, 164, f.1r-15v",
ms_61,,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/s/41j8bz,,,,"Oxford, British Library, Douce, 125, p.1-67",
ms_62,,http://gallica.bnf.fr/ark:/12148/btv1b9066978w/f115.image.r=13955,,,,"Paris, Bibliothèque Nationale, Lat., 13955, f.107r-123v",
ms_63,,http://gallica.bnf.fr/ark:/12148/btv1b90778250/f69.item.r=14080,,,,"Paris, Bibliothèque Nationale, Lat., 14080, f.65r-72v, 80r-87v, 79r-v, 73r-77v",
ms_64,,http://www.e-codices.unifr.ch/en/list/one/csg/0830,,,,"St.Gallen, Stiftsbibliothek, Ms, 830, p.283-309",
ms_65,,http://digi.vatlib.it/view/MSS_Vat.lat.3353,,,,"Vatican, Vatican, Lat., 3353, f.379r-383r",
ms_66,,http://digi.vatlib.it/view/MSS_Vat.lat.3906,,,,"Vatican, Vatican, Lat., 3906, f.189r",
ms_67,,http://digi.vatlib.it/view/MSS_Reg.lat.1023,,,,"Vatican, Vatican, Regin.lat., 1023, f.16r",
ms_68,,http://www.bibliotekacyfrowa.pl/dlibra/doccontent?id=42814,,,,"Wroclaw, BU, Rehdig, 55, f.2r-26r",
ms_69,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=harley_ms_3595_f057r,,,,"London, British Library, Harley, 3595, f.57r-68r",
ms_70,,http://daten.digitale-sammlungen.de/bsb00047475/image_393,,,,"Munich, Bayerische Staatsbibliothek, Clm, 13021, f.194r-202r",
ms_71,,http://ds.lib.berkeley.edu/PlimptonMS250_20,,,,"New York, Columbia University, Plimpton, 250, f.98r-129r",
ms_72,,http://gallica.bnf.fr/ark:/12148/btv1b9072601b/f76.item.r=7185,,,,"Paris, Bibliothèque Nationale, Lat., 7185, f.62v-80r",
ms_73,,http://digi.vatlib.it/mss/detail/Vat.lat.3123,,,,"Vatican, Vatican, Lat., 3123, f.65v-84r",
ms_74,,,,,,"Verona, Bibl.Capit., MS, XL (38), 331v-r; 326v-r; 341r-v; 338r-v; 336r-v; 343r-v",
ms_75,,,,,,"Munich, Universitätsbibliothek, MS, 2o757, 2ff",
ms_76,,https://gallica.bnf.fr/ark:/12148/btv1b10035274r,,,,"Paris, Bibliothèque Nationale, Lat., 7373, 2r-167v; 173r-175v ; 167v-172v",
ms_77,,,,,,"Firenze, BNC, Conv.soppr., C I 448, 1r-104v",
ms_78,,http://bdh.bne.es/bnesearch/detalle/bdh0000042244,,,,"Madrid, Biblioteca Nacional, Ms., 10010, 13v-36v, 49v-50r",
ms_79,,https://sharedcanvas.be/IIIF/viewer/mirador/B_OB_MS529,,,,"Bruges, SB, MS, 529, 1r-48v",
ms_80,,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Burney_MS_275&index=71,,,,"London, British Library, Burney, 275, 302r-308r",
ms_81,,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_11146,,,,"Oxford, Trinity College, MS, 47, 139r-180v",
ms_82,,,,,,"Paris, Bibliothèque Nationale, Lat., 16201, 35r-82r",
ms_83,,http://gallica.bnf.fr/ark:/12148/btv1b9066077c.r=16646?rk=42918;4#,,,,"Paris, Bibliothèque Nationale, Lat., 16646, 2r-108r",
ms_84,,,,,,"Oxford, British Library, Digby, 174, 160r-v ; 160v-173v",
ms_85,,http://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=20326,,,,"Boulogne-sur-Mer, Bibliotheque de la Ville, MS, 196, 1r-144r ; 144r-147v",
ms_86,,http://cabrio.bibliotheek.brugge.be/browse/webgaleries/MS521/index.html,,,,"Bruges, SB, MS, 521, 1r-109v ; 109v-113v",
ms_87,,http://gallica.bnf.fr/ark:/12148/btv1b90661821.r=7216?rk=21459;2,,,,"Paris, Bibliothèque Nationale, Lat., 7216, 1r-107v ; 107v-108r",
ms_88,,http://gallica.bnf.fr/ark:/12148/btv1b9066499b.r=7377b?rk=21459;2,,,,"Paris, Bibliothèque Nationale, Lat., 7377B, 1r-9r",
ms_89,,http://gallica.bnf.fr/ark:/12148/btv1b9066855j.r=11247?rk=42918;4,,,,"Paris, Bibliothèque Nationale, Lat., 11247, 78r-91v",
ms_90,,,,,,"Vatican, Vatican, Lat., 7299, 1r-136r ; 136r-141r",
ms_91,,http://digi.vatlib.it/view/MSS_Reg.lat.1268,,,,"Vatican, Vatican, Regin.lat., 1268, 113v-142v , 142v-143r ; 144r-183v, 206r-207v",
ms_92,,,,,,"Vatican, Vatican, Rossiano, 579, 1r-126v ; 126v-130v",
ms_93,,,,,,"London, British Library, Addit., 34018, 1r-78v",
